N-HSEA	&
STN-SU	xoã
STN-SUJ	xoãi
ST-HAY	xoè
ST-HAYN	xoèn
ST-HAYG	xoèng
ST-SAY	xoé
ST-SAYG	xoéng
ST-SAYNT	xoét
ST*-UN	xoăn
STN-UNK	xoạc
STN-UGK	xoạch
STN-UK	xoạnh
STN-UTK	xoạp
STN-UNT	xoạt
ST-HSU	xoả
ST-HSUJ	xoải
ST-HSUG	xoảng
ST-S*UN	xoắn
ST-HS*UN	xoẳn
STN-AYNT	xoẹt
ST-IU	xu
ST-UO	xua
ST-IUJ	xui
ST-IUT	xum
ST-IUN	xun
ST-IUG	xung
ST-EY	xuya
ST-EYN	xuyên
ST-SEYN	xuyến
ST-SEYNT	xuyết
ST*-YN	xuân
ST-UE	xuê
ST-UOJ	xuôi
ST-UOG	xuông
ST-SUY	xuý
ST-SUYNT	xuýt
ST-S*YNT	xuất
ST-HS*YN	xuẩn
ST-HUE	xuề
ST-HUEK	xuềnh
ST-HSUE	xuể
STN-UEGK	xuệch
ST-SUOG	xuống
ST-HUOG	xuồng
ST-HSUOG	xuổng
STN-UOT	xuộm
ST-HUY	xuỳ
STN-UYNT	xuỵt
ST-HA	xà
ST-HAJ	xài
ST-HAT	xàm
ST-HAG	xàng
ST-HAJK	xào
ST-HAJG	xàu
ST-SA	xá
ST-SANK	xác
ST-SAGK	xách
ST-SAJ	xái
ST-SAT	xám
ST-SAN	xán
ST-SAG	xáng
ST-SAJK	xáo
ST-SATK	xáp
ST-SANT	xát
ST-SAJN	xáy
ST*-ET	xâm
ST*-EJG	xâu
ST*-EJN	xây
STN-SA	xã
STN-SAJK	xão
ST-HE	xè
ST-HEN	xèn
ST-HEG	xèng
ST-HEJK	xèo
ST-SE	xé
ST-SEN	xén
ST-SEJK	xéo
ST-SETK	xép
ST-SENT	xét
ST-OE	xê
ST-OEN	xên
ST-OEK	xênh
ST-OEJG	xêu
ST-H*I	xì
ST-HIE	xìa
ST-H*IK	xình
ST-H*IJG	xìu
ST-S*I	xí
ST-SIE	xía
ST-S*IGK	xích
ST-S*IK	xính
ST-S*INT	xít
ST-S*IJG	xíu
ST-SO	xó
ST-SONK	xóc
ST-SOJ	xói
ST-SOT	xóm
ST-SON	xón
ST-SONT	xót
ST-OA	xô
ST-OAJ	xôi
ST-OAT	xôm
ST-OAN	xôn
ST-OAG	xông
STN-SOG	xõng
ST-HIU	xù
ST-HIUJ	xùi
ST-HIUT	xùm
ST-HIUG	xùng
ST-SIU	xú
ST-SIUNK	xúc
ST-SIUJ	xúi
ST-SIUT	xúm
ST-SIUG	xúng
ST-SIUTK	xúp
ST-SIUNT	xút
ST*-AT	xăm
ST*-AN	xăn
ST*-AG	xăng
STN-S*IK	xĩnh
STN-SIU	xũ
ST-OY	xơ
ST-OYJ	xơi
ST-OYT	xơm
ST-OYN	xơn
ST-EA	xưa
ST-UAG	xưng
ST-EAG	xương
ST-SEANK	xước
ST-SEAG	xướng
ST-HEAG	xường
ST-HSEAG	xưởng
STN-EANK	xược
STN-A	xạ
STN-ANK	xạc
STN-AGK	xạch
STN-AT	xạm
STN-AJK	xạo
STN-ATK	xạp
ST-HSA	xả
ST-HSAJ	xải
ST-HSAT	xảm
ST-HSAJK	xảo
ST-HSAJG	xảu
ST-HSAJN	xảy
ST-S*ENK	xấc
ST-S*ETK	xấp
ST-S*EJG	xấu
ST-H*ET	xầm
ST-H*EJG	xầu
ST-HS*ET	xẩm
ST-HS*EN	xẩn
ST-HS*EJG	xẩu
ST-HS*EJN	xẩy
STN*-ET	xậm
STN*-ETK	xập
ST-S*ANK	xắc
ST-S*AT	xắm
ST-S*AN	xắn
ST-S*ATK	xắp
ST-S*ANT	xắt
ST-H*AG	xằng
STN-S*AG	xẵng
STN-EJK	xẹo
STN-ETK	xẹp
STN-ENT	xẹt
ST-HSE	xẻ
ST-HSEN	xẻn
ST-HSEG	xẻng
ST-HSEJK	xẻo
STN-SEJK	xẽo
ST-SOE	xế
ST-SOEGK	xếch
ST-SOETK	xếp
ST-HOE	xề
ST-HOET	xềm
ST-HOEK	xềnh
ST-HOEJG	xều
ST-HSOE	xể
ST-HSOEK	xểnh
STN-OE	xệ
STN-OEGK	xệch
STN-OETK	xệp
STN-OENT	xệt
ST-HS*I	xỉ
ST-HSIE	xỉa
ST-HS*IN	xỉn
ST-HS*IK	xỉnh
ST-HS*IJG	xỉu
STN*-I	xị
STN*-INT	xịt
STN*-IJG	xịu
STN-O	xọ
STN-ONK	xọc
STN-OT	xọm
STN-OTK	xọp
ST-HSO	xỏ
ST-SOA	xố
ST-SOANK	xốc
ST-SOAJ	xối
ST-SOAN	xốn
ST-SOAG	xống
ST-SOATK	xốp
ST-SOANT	xốt
ST-HOA	xồ
ST-HOAT	xồm
ST-HOAN	xồn
ST-HOAG	xồng
ST-HSOA	xổ
ST-HSOAJ	xổi
ST-HSOAT	xổm
ST-HSOAG	xổng
STN-OANK	xộc
STN-OAN	xộn
STN-OATK	xộp
ST-SOY	xớ
ST-SOYJ	xới
ST-SOYNT	xớt
ST-HOY	xờ
ST-HOYT	xờm
ST-HSOY	xở
ST-HSOYJ	xởi
STN-SOY	xỡ
STN-IU	xụ
STN-IUNK	xục
STN-IUJ	xụi
STN-IUTK	xụp
ST-HSIU	xủ
ST-HSIUJ	xủi
ST-HSIUG	xủng
ST-SUA	xứ
ST-SUANK	xức
ST-SUAG	xứng
ST-HUA	xừ
ST-HUAG	xừng
ST-HSUA	xử
ST-HSEA	xửa
ST-HSUAG	xửng
STN-UA	xự
STN-UANK	xực
-I	y
-IET	yêm
-IEN	yên
-IEG	yêng
-IEJG	yêu
-SIET	yếm
-SIEN	yến
-SIENT	yết
-SIEJG	yếu
-HSIET	yểm
-HSIEG	yểng
-HSIEJG	yểu
-HIUEA	{!}
-SIOEY	{"^}
N-H*IU	{#^}
-HIAWY	{$^}
-H*OEW	{&%}
N-HIOE	{'^}
-HOEAY	{(^}
N-SUOY	{,}
N-HIUW	{-|}
N-OEWY	{.}
N-HIOA	{:}
N*-IUA	{;}
-HS*IA	{?}
-H*IOA	{[^}
*-IOAW	{^ ^}
N-IUOE	{^ ^}{-|}
N*-UEW	{^!^}
N-UOEW	{^"^}
N-HSUO	{^"}
N-SIUO	{^'^}
N*-EWY	{^'}
N-HEAW	{^(^}
-SIAWY	{^)^}
*-IUOA	{^)}
N-SUOW	{^*^}
N-IOEA	{^+^}
N*-OEW	{^,^}
N-HIUY	{^-^}
-IUOEY	{^.^}
-S*IEW	{^/^}
-SIUOE	{^:^}
N-IUOA	{^;^}
N-HSOE	{^<^}
N-UEAY	{^=^}
N-S*EW	{^>^}
-H*UEA	{^>^}
N-HIUA	{^?^}
-S*IOA	{^@^}
-HIUOW	{^[^}
-HS*IW	{^\^}
-HIOAW	{^]^}
-H*IEA	{^]}
N-HSIE	{^^^}
-HS*OE	{^_^}
N-HOWY	{^`^}
-SUEAY	{^{^}
-IUEAW	{^|^}
-HSIEY	{^}^}
-S*UOE	{^}}
N-SUOE	{^~^}
N-SOEA	{^~}
-HIEWY	{{^}
-HA	à
-HAJK	ào
-SA	á
-SANK	ác
-SAGK	ách
-SAJ	ái
-SAT	ám
-SAN	án
-SAG	áng
-SAK	ánh
-SAJK	áo
-SATK	áp
-SANT	át
-SAJN	áy
*-ET	âm
*-EN	ân
*-EJG	âu
N-SA	ã
-HE	è
-HEJK	èo
-SE	é
-SENK	éc
-SET	ém
-SEN	én
-SEJK	éo
-SETK	ép
-SENT	ét
-OE	ê
-OET	êm
-OEJG	êu
-H*I	ì
-H*IN	ìn
-H*IK	ình
-S*I	í
-S*IGK	ích
-S*IN	ín
-S*INT	ít
-HO	ò
-HOJ	òi
-HOT	òm
-HOG	òng
-SO	ó
-SONK	óc
-SOJ	ói
-SOT	óm
-SOG	óng
-SOTK	óp
-SONT	ót
-OA	ô
-OAJ	ôi
-OAT	ôm
-OAN	ôn
-OAG	ông
N-SOT	õm
N-SOG	õng
-HIU	ù
-HUO	ùa
-HIUT	ùm
-HIUN	ùn
-HIUG	ùng
-SIU	ú
-SUO	úa
-SIUNK	úc
-SIUJ	úi
-SIUT	úm
-SIUG	úng
-SIUTK	úp
-SIUNT	út
-SI	ý
*-AT	ăm
*-AN	ăn
*-AG	ăng
STH-A	đa
STH-AJ	đai
STH-AT	đam
STH-AN	đan
STH-AG	đang
STH-AK	đanh
STH-AJK	đao
STH-AJG	đau
STH-AJN	đay
STH-E	đe
STH-ET	đem
STH-EN	đen
STH-EJK	đeo
STH*-I	đi
STH*-IN	đin
STH*-IK	đinh
STH*-IJG	điu
STH-IEN	điên
STH-IEG	điêng
STH-IEJG	điêu
STH-SIENK	điếc
STH-SIET	điếm
STH-SIEN	điến
STH-SIEG	điếng
STH-SIEJG	điếu
STH-HIET	điềm
STH-HIEN	điền
STH-HIEJG	điều
STH-HSIET	điểm
STH-HSIEN	điển
STH-HSIEJG	điểu
STHN-IET	điệm
STHN-IEN	điện
STHN-IETK	điệp
STHN-IEJG	điệu
STH-O	đo
STH-UN	đoan
STH-OT	đom
STH-ON	đon
STH-OG	đong
STH-HUJ	đoài
STH-HUN	đoàn
STH-HUG	đoàng
STH-HUK	đoành
STH-SU	đoá
STH-SUNK	đoác
STH-SUJ	đoái
STH-SUN	đoán
STHN-SUN	đoãn
STHN-U	đoạ
STHN-UN	đoạn
STHN-UNT	đoạt
STH-HSUN	đoản
STH-HSUG	đoảng
STH-IU	đu
STH-UO	đua
STH-IUJ	đui
STH-IUT	đum
STH-IUN	đun
STH-IUG	đung
STH-UOJ	đuôi
STH-HUEK	đuềnh
STH-HSUEK	đuểnh
STH-SUONK	đuốc
STH-SUOJ	đuối
STH-SUONT	đuốt
STH-HUON	đuồn
STH-HSUOJ	đuổi
STHN-SUON	đuỗn
STHN-UOJ	đuội
STHN-UONT	đuột
STH-HA	đà
STH-HAJ	đài
STH-HAT	đàm
STH-HAN	đàn
STH-HAG	đàng
STH-HAK	đành
STH-HAJK	đào
STH-HAJN	đày
STH-SA	đá
STH-SANK	đác
STH-SAGK	đách
STH-SAJ	đái
STH-SAT	đám
STH-SAN	đán
STH-SAG	đáng
STH-SAK	đánh
STH-SAJK	đáo
STH-SATK	đáp
STH-SANT	đát
STH-SAJG	đáu
STH-SAJN	đáy
STH*-ET	đâm
STH*-EJG	đâu
STH*-EJN	đây
STHN-SA	đã
STHN-SAJ	đãi
STHN-SAG	đãng
STHN-SAJN	đãy
STH-HE	đè
STH-HET	đèm
STH-HEN	đèn
STH-HEJK	đèo
STH-SE	đé
STH-SENK	đéc
STH-SET	đém
STH-SEJK	đéo
STH-SENT	đét
STH-OE	đê
STH-OET	đêm
STH-OEK	đênh
STH-OEJG	đêu
STH-H*I	đì
STH-HIE	đìa
STH-H*IK	đình
STH-H*IJG	đìu
STH-S*IGK	đích
STH-S*IK	đính
STH-S*INT	đít
STH-HO	đò
STH-HOJ	đòi
STH-HOT	đòm
STH-HON	đòn
STH-HOG	đòng
STH-SO	đó
STH-SOJ	đói
STH-SOT	đóm
STH-SON	đón
STH-SOG	đóng
STH-SONT	đót
STH-OA	đô
STH-OAJ	đôi
STH-OAT	đôm
STH-OAN	đôn
STH-OAG	đông
STHN-SO	đõ
STH-HIU	đù
STH-HUO	đùa
STH-HIUJ	đùi
STH-HIUT	đùm
STH-HIUN	đùn
STH-HIUG	đùng
STH-SIU	đú
STH-SUO	đúa
STH-SIUNK	đúc
STH-SIUT	đúm
STH-SIUG	đúng
STH-SIUTK	đúp
STH-SIUNT	đút
STH*-AT	đăm
STH*-AG	đăng
STHN-S*I	đĩ
STHN-SIE	đĩa
STHN-S*IK	đĩnh
STHN-SUO	đũa
STHN-SIUJ	đũi
STHN-SIUG	đũng
STH-OY	đơ
STH-OYT	đơm
STH-OYN	đơn
STH-EA	đưa
STH-UAG	đưng
STH-EAG	đương
STH-SEANK	đước
STH-HEAJ	đười
STH-HEAN	đườn
STH-HEAG	đường
STH-HSEAN	đưởn
STHN-SEAN	đưỡn
STHN-EANK	được
STHN-EAT	đượm
STHN-ANK	đạc
STHN-AGK	đạch
STHN-AJ	đại
STHN-AT	đạm
STHN-AN	đạn
STHN-AJK	đạo
STHN-ATK	đạp
STHN-ANT	đạt
STH-HSA	đả
STH-HSAT	đảm
STH-HSAN	đản
STH-HSAG	đảng
STH-HSAK	đảnh
STH-HSAJK	đảo
STH-HSAJN	đảy
STH-S*ET	đấm
STH-S*EG	đấng
STH-S*ENT	đất
STH-S*EJG	đấu
STH-S*EJN	đấy
STH-H*ET	đầm
STH-H*EN	đần
STH-H*EJG	đầu
STH-H*EJN	đầy
STH-HS*EJG	đẩu
STH-HS*EJN	đẩy
STHN-S*ET	đẫm
STHN-S*EN	đẫn
STHN-S*EJN	đẫy
STHN*-ET	đậm
STHN*-EN	đận
STHN*-ETK	đập
STHN*-ENT	đật
STHN*-EJG	đậu
STHN*-EJN	đậy
STH-S*ANK	đắc
STH-S*AT	đắm
STH-S*AN	đắn
STH-S*AG	đắng
STH-S*ATK	đắp
STH-S*ANT	đắt
STH-H*AT	đằm
STH-H*AN	đằn
STH-H*AG	đằng
STH-HS*AG	đẳng
STHN-S*AT	đẵm
STHN-S*AN	đẵn
STHN-S*AG	đẵng
STHN*-ANK	đặc
STHN*-AT	đặm
STHN*-AN	đặn
STHN*-AG	đặng
STHN*-ANT	đặt
STHN-EN	đẹn
STHN-ETK	đẹp
STHN-ENT	đẹt
STH-HSE	đẻ
STHN-SE	đẽ
STHN-SEJK	đẽo
STH-SOE	đế
STH-SOEGK	đếch
STH-SOET	đếm
STH-SOEN	đến
STH-SOEJG	đếu
STH-HOE	đề
STH-HOET	đềm
STH-HOEN	đền
STH-HOEK	đềnh
STH-HOEJG	đều
STH-HSOE	để
STH-HSOEK	đểnh
STH-HSOEJG	đểu
STHN-SOE	đễ
STHN-OE	đệ
STHN-OET	đệm
STHN-OETK	đệp
STHN-OENT	đệt
STH-HSIE	đỉa
STH-HS*IK	đỉnh
STHN-IE	địa
STHN*-IGK	địch
STHN*-IK	định
STHN*-INT	địt
STHN*-IJG	địu
STHN-O	đọ
STHN-ONK	đọc
STHN-OJ	đọi
STHN-OT	đọm
STHN-ON	đọn
STHN-OG	đọng
STHN-ONT	đọt
STH-HSO	đỏ
STH-HSOJ	đỏi
STH-HSOT	đỏm
STH-HSOG	đỏng
STH-SOA	đố
STH-SOANK	đốc
STH-SOAJ	đối
STH-SOAT	đốm
STH-SOAN	đốn
STH-SOAG	đống
STH-SOATK	đốp
STH-SOANT	đốt
STH-HOA	đồ
STH-HOAJ	đồi
STH-HOAT	đồm
STH-HOAN	đồn
STH-HOAG	đồng
STH-HSOA	đổ
STH-HSOAJ	đổi
STH-HSOAT	đổm
STH-HSOAG	đổng
STHN-SOA	đỗ
STHN-SOAJ	đỗi
STHN-OA	độ
STHN-OANK	độc
STHN-OAJ	đội
STHN-OAN	độn
STHN-OAG	động
STHN-OATK	độp
STHN-OANT	đột
STH-SOY	đớ
STH-SOYJ	đới
STH-SOYN	đớn
STH-SOYTK	đớp
STH-SOYNT	đớt
STH-HOY	đờ
STH-HOYJ	đời
STH-HOYT	đờm
STH-HOYN	đờn
STH-HSOYT	đởm
STH-HSOYN	đởn
STHN-SOY	đỡ
STHN-OY	đợ
STHN-OYJ	đợi
STHN-OYNT	đợt
STHN-IU	đụ
STHN-IUNK	đục
STHN-IUN	đụn
STHN-IUG	đụng
STHN-IUTK	đụp
STHN-IUNT	đụt
STH-HSIU	đủ
STH-HSIUJ	đủi
STH-HSIUG	đủng
STH-SUA	đứ
STH-SEA	đứa
STH-SUANK	đức
STH-SUAG	đứng
STH-SUANT	đứt
STH-HUA	đừ
STH-HUAG	đừng
STH-HSUA	đử
STHN-UANK	đực
STHN-UAG	đựng
N-S*I	ĩ
N-S*IJG	ĩu
-OY	ơ
-OYJ	ơi
-OYN	ơn
-UA	ư
-EA	ưa
-UAG	ưng
-UAJG	ưu
-EAJ	ươi
-EAT	ươm
-EAN	ươn
-EAG	ương
-SEANK	ước
-SEAT	ướm
-SEATK	ướp
-SEANT	ướt
-HEAN	ườn
-HSEAN	ưởn
N-SEAN	ưỡn
N-A	ạ
N-AGK	ạch
N-ANT	ạt
-HSA	ả
-HSAJ	ải
-HSAT	ảm
-HSAG	ảng
-HSAK	ảnh
-HSAJK	ảo
-S*ET	ấm
-S*EN	ấn
-S*ETK	ấp
-S*ENT	ất
-S*EJG	ấu
-S*EJN	ấy
-H*ET	ầm
-H*EG	ầng
-H*EJG	ầu
-HS*ET	ẩm
-HS*EN	ẩn
-HS*EJG	ẩu
-HS*EJN	ẩy
N-S*ET	ẫm
N-S*EJG	ẫu
N*-ET	ậm
N*-EG	ậng
N*-ETK	ập
N*-EJG	ậu
-S*ANK	ắc
-S*AG	ắng
-S*ATK	ắp
-S*ANT	ắt
-HS*AG	ẳng
N-S*AT	ẵm
N*-ANK	ặc
N-E	ẹ
N-ENK	ẹc
N-EJK	ẹo
N-ETK	ẹp
N-ENT	ẹt
-HSEN	ẻn
-HSEJK	ẻo
N-SEJK	ẽo
-SOE	ế
-SOEGK	ếch
-SOET	ếm
-SOENT	ết
-HOE	ề
-HOEK	ềnh
N-SOEK	ễnh
N-OEGK	ệch
-HS*I	ỉ
-HSIE	ỉa
-HS*IT	ỉm
-HS*IN	ỉn
-HS*IJG	ỉu
N*-I	ị
N*-IGK	ịch
N*-INT	ịt
N-O	ọ
N-ONK	ọc
N-OTK	ọp
-HSOJ	ỏi
-HSOT	ỏm
-HSON	ỏn
-HSOG	ỏng
-SOA	ố
-SOANK	ốc
-SOAJ	ối
-SOAT	ốm
-SOAG	ống
-SOATK	ốp
-SOANT	ốt
-HOA	ồ
-HOAJ	ồi
-HOAT	ồm
-HOAN	ồn
-HOAG	ồng
-HSOA	ổ
-HSOAJ	ổi
-HSOAT	ổm
-HSOAN	ổn
-HSOAG	ổng
N-OANK	ộc
N-OATK	ộp
-SOY	ớ
-SOYJ	ới
-SOYT	ớm
-SOYN	ớn
-SOYNT	ớt
-HOY	ờ
-HSOY	ở
-HSOYT	ởm
N-SOYT	ỡm
N-OY	ợ
N-OYNT	ợt
N-IU	ụ
N-IUNK	ục
N-IUTK	ụp
N-IUNT	ụt
-HSIU	ủ
-HSUO	ủa
-HSIUJ	ủi
-HSIUN	ủn
-HSIUG	ủng
-SUA	ứ
-SEA	ứa
-SUANK	ức
-SUAG	ứng
-HUA	ừ
-HEA	ừa
-HUAG	ừng
-HSUA	ử
-HSUAG	ửng
N-UA	ự
N-EA	ựa
N-UANK	ực
-HI	ỳ
-HSI	ỷ
